話	talk	wa	hana(su), hanashi	JDIC_Audio_All/はなし - 話.mp3	ワ	はなす,はなし	tale; talk
公	official	koo	ooyake	JDIC_Audio_All/おおやけ - 公.mp3	コウ,ク	おおやけ	public; prince; official; governmental
午	noon	go	uma	JDIC_Audio_All/うま - 午.mp3	ゴ	うま	noon; sign of the horse; 11AM-1PM; seventh sign of Chinese zodiac
言	say	gen, gon	i(u), koto	JDIC_Audio_All/げん - 言.mp3	ゲン,ゴン	いう,こと	say
古	old	ko	furu(i), furu(su)	JDIC_Audio_All/ふる - 古.mp3	コ	ふるい,ふる-	old
戸	door	ko	to	JDIC_Audio_All/こ - 戸.mp3	コ	と	door; counter for houses; door radical (no. 63)
計	plot	kei	haka(ru), haka(rau)	JDIC_Audio_All/けい - 計.mp3	ケイ	はかる,はからう	plot; plan; scheme; measure
元	beginning	gen, gan	moto	JDIC_Audio_All/もと - 元.mp3	ゲン,ガン	もと	beginning; former time; origin
原	plain	gen	hara	JDIC_Audio_All/げん - 原.mp3	ゲン	はら	meadow; original; primitive; field; plain; prairie; tundra; wilderness
形	shape	kei,gyoo	kata, katachi	JDIC_Audio_All/けい - 形.mp3	ケイ,ギョウ	かた,-がた	shape; form; style
近	near	kin	chika(i)	JDIC_Audio_All/ちかい - 近い.mp3	キン,コン	ちかい	near; early; akin; tantamount
兄	elder brother	kei, kyoo	ani	JDIC_Audio_All/にい - 兄.mp3	ケイ,キョウ	あに	elder brother; big brother
教	teach	kyoo	oshi(eru), oso(waru)	JDIC_Audio_All/おしえ - 教え.mp3	キョウ	おしえる,おそわる	teach; faith; doctrine
強	strong	kyoo, goo	tsuyo(i), tsuyo(maru), tsuyo(meru), shi(iru)	JDIC_Audio_All/きょう - 強.mp3	キョウ,ゴウ	つよい,つよまる	strong
魚	fish	gyo	uo, sakana	JDIC_Audio_All/さかな - 魚.mp3	ギョ	うお,さかな	fish
京	capital	kyoo, kei	miyako	JDIC_Audio_All/みやこ - 京.mp3	キョウ,ケイ	みやこ	capital; 10**16
牛	cow	gyuu	ushi	JDIC_Audio_All/うし - 牛.mp3	ギュウ	うし	cow
汽	vapor	ki	ki	sounds/common/ki.wav	キ	キ	vapor; steam
記	scribe	ki	shiru(su)	JDIC_Audio_All/き - 記.mp3	キ	しるす	scribe; account; narrative
弓	bow	kyuu	yumi	JDIC_Audio_All/ゆみ - 弓.mp3	キュウ	ゆみ	bow; bow (archery, violin)
帰	homecoming	ki	kae(ru), kae(su)	JDIC_Audio_All/かえる - 帰る.mp3	キ	かえる,かえす	homecoming; arrive at; lead to; result in
丸	round	gan	maru, maru(i), maru(meru)	JDIC_Audio_All/がん - 丸.mp3	ガン	まる,まるめる	round; full; month; perfection; -ship; pills; make round; roll up; curl up; seduce; explain away
岩	boulder	gan	iwa	JDIC_Audio_All/いわ - 岩.mp3	ガン	いわ	boulder; rock; cliff
顔	face	gan	kao	JDIC_Audio_All/かお - 顔.mp3	ガン	かお	face; expression
間	interval	kan, ken	aida, ma	JDIC_Audio_All/あいだ - 間.mp3	カン,ケン	あいだ,ま	interval; space
海	sea	kai	umi	JDIC_Audio_All/うみ - 海.mp3	カイ	うみ	sea; ocean
絵	picture	kai, e	kai	JDIC_Audio_All/え - 絵.mp3	カイ,エ	カイ,エ	picture; drawing; painting; sketch
外	outside	gai, ge	soto, hoka, ha(zusu), hazu(reru)	JDIC_Audio_All/そと - 外.mp3	ガイ,ゲ	そと,ほか	outside
角	angle	kaku	kado, tsuno	JDIC_Audio_All/かく - 角.mp3	カク	かど,つの	angle; corner; square; horn; antlers
楽	music	gaku, raku	tano(shii), tano(shimu)	JDIC_Audio_All/らく - 楽.mp3	ガク,ラク	たのしい,たのしむ	music; comfort; ease
活	lively	katsu	ikiru	JDIC_Audio_All/かつ - 活.mp3	カツ	いきる,いかす	lively; resuscitation; being helped; living
羽	feathers	u	ha, hane	JDIC_Audio_All/う - 羽.mp3	ウ	は,わ	feathers; counter for birds, rabbits
雲	cloud	un	kumo	JDIC_Audio_All/くも - 雲.mp3	ウン	くも,-ぐも	cloud
園	garden	en	sono	JDIC_Audio_All/えん - 園.mp3	エン	その	park; garden; yard; farm
遠	distant	en, on	too(i)	JDIC_Audio_All/とお - 遠.mp3	エン,オン	とおい	distant; far
黄	yellow	koo ,oo	ki, ko	JDIC_Audio_All/き - 黄.mp3	コウ,オウ	き,こ-	yellow
何	what	ka	nani, nan	JDIC_Audio_All/なに - 何.mp3	カ	なに,なん	what
夏	summer	ka, ge	natsu	JDIC_Audio_All/なつ - 夏.mp3	カ,ガ	なつ	summer
家	house	ka, ke	ie, ya	JDIC_Audio_All/んち - 家.mp3	カ,ケ	いえ,や	house; home
科	department	ka	ka	JDIC_Audio_All/か - 科.mp3	カ	カ	department; course; section
歌	song	ka	uta, uta(u)	JDIC_Audio_All/うた - 歌.mp3	カ	うた,うたう	song; sing
画	brush-stroke	ga, kaku	egaku	JDIC_Audio_All/かく - 画.mp3	ガ,カク	えがく,かくする	brush-stroke; picture
会	meeting	kai, e	a(u)	JDIC_Audio_All/かい - 会.mp3	カイ,エ	あう,あわせる	meeting; meet; party; association; interview; join
回	-times	kai, e	mawa(ru), mawa(su)	JDIC_Audio_All/かい - 回.mp3	カイ,エ	まわる,-まわる	-times; round; game; revolve; counter for occurrences
引	pull	in	hi(ku), hi(keru)	JDIC_Audio_All/ひき - 引き.mp3	イン	ひく,ひき	pull; tug; jerk; admit; install; quote; refer to
